Relative Intensity vs Linear Position, Run #6
Linear Position ( m )	Relative Intensity (  )
-0.072	0.11
-0.072	0.12
-0.073	0.12
-0.073	0.12
-0.073	0.12
-0.073	0.12
-0.074	0.12
-0.074	0.13
-0.074	0.13
-0.074	0.13
-0.075	0.13
-0.075	0.13
-0.075	0.13
-0.075	0.14
-0.076	0.14
-0.076	0.13
-0.076	0.13
-0.076	0.14
-0.076	0.14
-0.077	0.14
-0.077	0.14
-0.077	0.14
-0.077	0.14
-0.077	0.14
-0.077	0.14
-0.078	0.14
-0.078	0.13
-0.078	0.13
-0.078	0.14
-0.078	0.14
-0.078	0.13
-0.079	0.13
-0.079	0.13
-0.079	0.13
-0.079	0.13
-0.079	0.13
-0.079	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.13
-0.080	0.13
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.13
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.11
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.13
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.080	0.12
-0.081	0.13
-0.081	0.12
-0.081	0.11
-0.081	0.11
-0.082	0.11
-0.082	0.11
-0.082	0.11
-0.082	0.11
-0.082	0.11
-0.083	0.11
-0.083	0.12
-0.083	0.12
-0.084	0.12
-0.084	0.12
-0.084	0.12
-0.085	0.12
-0.085	0.13
-0.085	0.14
-0.086	0.15
-0.086	0.16
-0.086	0.17
-0.087	0.18
-0.087	0.20
-0.087	0.21
-0.087	0.22
-0.087	0.23
-0.088	0.23
-0.088	0.24
-0.088	0.26
-0.088	0.26
-0.088	0.28
-0.088	0.28
-0.089	0.30
-0.089	0.31
-0.089	0.32
-0.089	0.33
-0.089	0.34
-0.089	0.35
-0.089	0.36
-0.090	0.36
-0.090	0.38
-0.090	0.39
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.41
-0.090	0.40
-0.090	0.41
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.41
-0.090	0.40
-0.090	0.41
-0.090	0.40
-0.090	0.41
-0.090	0.41
-0.090	0.41
-0.090	0.41
-0.090	0.40
-0.090	0.40
-0.090	0.40
-0.090	0.41
-0.090	0.43
-0.090	0.45
-0.091	0.46
-0.091	0.48
-0.091	0.49
-0.091	0.51
-0.091	0.53
-0.091	0.56
-0.092	0.57
-0.092	0.59
-0.092	0.62
-0.092	0.64
-0.093	0.67
-0.093	0.70
-0.093	0.74
-0.094	0.77
-0.094	0.80
-0.094	0.84
-0.094	0.86
-0.095	0.89
-0.095	0.92
-0.095	0.94
-0.095	0.96
-0.096	0.97
-0.096	0.98
-0.096	1.00
-0.096	1.01
-0.096	1.01
-0.096	1.02
-0.096	1.04
-0.097	1.04
-0.097	1.05
-0.097	1.07
-0.097	1.07
-0.097	1.08
-0.097	1.09
-0.097	1.10
-0.098	1.11
-0.098	1.12
-0.098	1.13
-0.098	1.14
-0.098	1.14
-0.098	1.14
-0.098	1.15
-0.099	1.15
-0.099	1.16
-0.099	1.17
-0.099	1.17
-0.099	1.16
-0.099	1.16
-0.099	1.16
-0.100	1.16
-0.100	1.17
-0.100	1.16
-0.100	1.18
-0.100	1.20
-0.100	1.21
-0.100	1.21
-0.101	1.19
-0.101	1.18
-0.101	1.16
-0.101	1.13
-0.102	1.14
-0.102	1.13
-0.102	1.11
-0.102	1.10
-0.102	1.08
-0.103	1.07
-0.103	1.07
-0.103	1.04
-0.103	1.03
-0.103	1.01
-0.104	1.00
-0.104	0.98
-0.104	0.96
-0.104	0.94
-0.105	0.92
-0.105	0.90
-0.105	0.89
-0.105	0.87
-0.105	0.87
-0.105	0.83
-0.106	0.82
-0.106	0.82
-0.106	0.80
-0.106	0.79
-0.106	0.79
-0.106	0.80
-0.106	0.80
-0.106	0.79
-0.106	0.80
-0.106	0.82
-0.106	0.80
-0.106	0.81
-0.106	0.80
-0.106	0.80
-0.106	0.81
-0.106	0.81
-0.106	0.81
-0.106	0.81
-0.106	0.81
-0.106	0.81
-0.106	0.82
-0.106	0.81
-0.106	0.81
-0.106	0.82
-0.106	0.81
-0.106	0.81
-0.106	0.80
-0.106	0.80
-0.106	0.81
-0.106	0.80
-0.106	0.80
-0.106	0.80
-0.106	0.78
-0.106	0.80
-0.106	0.79
-0.106	0.77
-0.106	0.78
-0.106	0.77
-0.106	0.77
-0.106	0.75
-0.106	0.75
-0.106	0.73
-0.107	0.71
-0.107	0.69
-0.107	0.66
-0.107	0.64
-0.107	0.61
-0.108	0.59
-0.108	0.58
-0.108	0.54
-0.108	0.53
-0.109	0.50
-0.109	0.47
-0.109	0.44
-0.109	0.42
-0.110	0.40
-0.110	0.36
-0.110	0.34
-0.111	0.33
-0.111	0.31
-0.111	0.29
-0.111	0.27
-0.111	0.25
-0.112	0.24
-0.112	0.22
-0.112	0.22
-0.112	0.21
-0.112	0.19
-0.113	0.19
-0.113	0.18
-0.113	0.16
-0.113	0.16
-0.113	0.15
-0.113	0.15
-0.114	0.13
-0.114	0.13
-0.114	0.13
-0.114	0.12
-0.114	0.12
-0.114	0.11
-0.115	0.10
-0.115	0.10
-0.115	0.10
-0.115	0.10
-0.115	0.09
-0.116	0.08
-0.116	0.09
-0.116	0.09
-0.116	0.09
-0.116	0.08
-0.116	0.08
-0.116	0.08
-0.116	0.08
-0.116	0.08
-0.116	0.07
-0.117	0.08
-0.117	0.08
-0.117	0.07
-0.117	0.07
-0.117	0.07
-0.117	0.08
-0.117	0.08
-0.118	0.07
-0.118	0.08
-0.118	0.08
-0.118	0.08
-0.118	0.07
-0.118	0.07
-0.118	0.08
-0.118	0.08
-0.118	0.07
-0.119	0.08
-0.119	0.08
-0.119	0.08
-0.119	0.08
-0.119	0.08
-0.119	0.08
-0.119	0.08
-0.119	0.08
-0.119	0.08
-0.119	0.08
-0.119	0.09
-0.120	0.08
-0.120	0.08
-0.120	0.08
-0.120	0.09
-0.120	0.09
-0.120	0.09
-0.120	0.09
-0.120	0.09
-0.120	0.09
-0.120	0.09
-0.121	0.09
-0.121	0.10
-0.121	0.10
-0.121	0.10
-0.121	0.09
-0.121	0.09
-0.121	0.10
-0.121	0.10
-0.121	0.09
-0.121	0.09
-0.121	0.09
-0.121	0.10
-0.121	0.10
-0.121	0.09
-0.121	0.09
-0.121	0.09
-0.121	0.10
-0.121	0.10
-0.121	0.09
-0.121	0.09
-0.121	0.09
-0.121	0.10
-0.121	0.10
-0.121	0.09
-0.121	0.09
-0.121	0.09
-0.121	0.10
-0.121	0.10
-0.121	0.09
-0.121	0.09
-0.121	0.10
-0.121	0.10
-0.122	0.10
-0.122	0.10
-0.122	0.10
-0.122	0.10
-0.123	0.11
-0.123	0.11
-0.123	0.11
-0.123	0.11
-0.124	0.10
-0.124	0.11
-0.124	0.11
-0.124	0.11
-0.125	0.11
-0.125	0.10
-0.125	0.10
-0.125	0.10
-0.125	0.10
-0.126	0.11
-0.126	0.10
-0.126	0.10
-0.127	0.09
-0.127	0.09
-0.127	0.10
-0.128	0.09
-0.128	0.09
-0.128	0.08
-0.129	0.08
-0.129	0.09
-0.129	0.08
-0.129	0.08
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.07
-0.131	0.07
-0.131	0.07
-0.131	0.07
-0.131	0.07
-0.132	0.07
-0.132	0.07
-0.132	0.07
-0.132	0.06
-0.132	0.06
-0.133	0.06
-0.133	0.07
-0.133	0.06
-0.133	0.06
-0.133	0.06
-0.134	0.07
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.07
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.135	0.07
-0.135	0.07
-0.135	0.07
-0.135	0.06
-0.135	0.06
-0.135	0.07
-0.135	0.07
-0.135	0.06
-0.136	0.06
-0.136	0.07
